"Reviewed","Exported","Document type","Date added","Date issued","Vendor","Currency","Total","Tax","GST","HST","PST","QST","Other","Sales Tax","Tip","Type","Tax category","Classification","Sub-classification","Description","Pay method","Pay account","Card type","Card number","Comment"
"No","No","Receipt","9/3/2025 8:16 PM","7/6/2019","Bentley Esso","CAD","16.38","0.78","0.78","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Debit","","","3265",""
"No","No","Receipt","9/3/2025 8:16 PM","5/8/2019","Run'n On Empty 50Ave","CAD","15.60","3.14","3.14","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Business meal","","Debit","","","3265","split receipt with fuel"
"No","No","Receipt","9/3/2025 8:16 PM","5/14/2019","Run'n On Empty 50Ave","CAD","15.60","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Card","","MASTERCARD","0853","Beverages  spit receipt with fuel"
"Yes","No","Receipt","9/3/2025 9:15 PM","3/5/2019","Fas Gas Red Deer","CAD","54.45","2.59","2.59","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:15 PM","3/3/2019","Run'n On Empty 50Ave","CAD","20.00","0.95","0.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","",""
"Yes","No","Receipt","9/3/2025 9:15 PM","3/11/2019","esso express gas alley","CAD","80.00","3.81","3.81","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:15 PM","3/12/2019","Fas Gas Red Deer","CAD","22.56","1.07","1.07","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265",""
"No","No","Receipt","9/3/2025 9:15 PM","3/12/2019","Fas Gas Red Deer","CAD","100.23","4.77","4.77","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-24,89.575"
"Yes","No","Receipt","9/3/2025 9:15 PM","3/5/2019","Fas Gas west park","CAD","25.00","1.19","1.19","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:15 PM","3/7/2019","Run'n On Empty 50Ave","CAD","55.00","2.62","2.62","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265",""
"Yes","No","Receipt","9/3/2025 9:15 PM","3/10/2019","Fas Gas Red Deer","CAD","24.60","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:15 PM","3/10/2019","Fas Gas Red Deer","CAD","23.90","1.14","1.14","0.00","0.00","0.00","0.00","","0.00","","","Oil","","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:15 PM","9/11/2019","Fas Gas Red Deer","CAD","5.00","0.24","0.24","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"No","No","Receipt","9/3/2025 9:15 PM","3/12/2019","Fas Gas Red Deer","CAD","200.00","9.52","9.52","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-19,178.732"
"Yes","No","Receipt","9/3/2025 9:15 PM","3/9/2019","TRANSACTION RECORD","CAD","25.15","1.20","1.20","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-20,23.092"
"Yes","No","Receipt","8/28/2025 11:30 PM","5/29/2019","Fas Gas Red Deer","CAD","20.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"No","No","Receipt","8/28/2025 11:30 PM","5/23/2019","Fas Gas Red Deer","CAD","49.00","2.33","2.33","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265","L-6,40.53"
"Yes","No","Receipt","8/28/2025 11:29 PM","5/26/2019","FLYING J","CAD","6.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265",""
"Yes","No","Receipt","8/28/2025 11:29 PM","5/5/2019","PETRO-CANADA","CAD","14.06","0.67","0.67","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3255",""
"No","No","Receipt","8/28/2025 11:29 PM","5/11/2019","Fas Gas Red Deer 3218 49th Avenue Red Deer AB","CAD","86.00","4.10","4.10","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3869",""
"Yes","No","Receipt","8/28/2025 11:29 PM","5/14/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","20.00","0.95","0.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","8/28/2025 11:29 PM","5/14/2019","Fas Gas Red Deer","CAD","880.00","3.81","3.81","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","","L-19,66.170"
"No","No","Receipt","8/28/2025 11:29 PM","5/14/2019","Run'n On Empty 50Ave","CAD","58.61","2.05","2.05","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","MASTERCARD","0853","split receipt, beverages"
"Yes","No","Receipt","8/28/2025 11:29 PM","5/1/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","140.00","6.67","6.67","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","8/28/2025 11:29 PM","5/4/2019","Burnt Lake Store","CAD","37.91","1.81","1.81","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265",""
"No","No","Receipt","8/28/2025 11:29 PM","5/4/2019","Burnt Lake Store","CAD","64.00","3.05","3.05","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-20,52.935"
"Yes","No","Receipt","8/28/2025 11:29 PM","6/15/2019","Fas Gas Red Deer 3218 49th Avenue Red Deer AB","CAD","60.00","2.86","2.86","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","","","","","L-19,53.665"
"No","No","Receipt","8/28/2025 11:29 PM","6/28/2019","Fas Gas Ross Street","CAD","186.00","8.86","8.86","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265",""
"Yes","No","Receipt","8/28/2025 11:29 PM","2/23/2017","Fas Gas Plus 50th Av","CAD","60.00","2.86","2.86","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","",""
"Yes","No","Receipt","9/3/2025 9:15 PM","3/13/2019","Run'n On Empty 50Ave","CAD","31.50","1.50","1.50","0.00","0.00","0.00","0.00","","0.00","","","","","","Debit","","","3265","L-3,29.192"
"Yes","No","Receipt","8/28/2025 11:29 PM","6/18/2019","SHELL CANADA PRODUCTS","CAD","40.00","1.90","1.90","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","8/28/2025 11:29 PM","6/15/2019","Centex Bearspaw","CAD","33.66","1.60","1.60","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265",""
"Yes","No","Receipt","8/28/2025 11:29 PM","6/19/2019","Fas Gas Red Deer","CAD","53.26","2.54","2.54","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","VISA","0359",""
"Yes","No","Receipt","8/28/2025 11:29 PM","6/19/2019","Fas Gas Red Deer","CAD","100.00","4.76","4.76","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","VISA","3072",""
"No","No","Receipt","8/28/2025 11:29 PM","6/28/2019","Fas Gas Red Deer","CAD","59.00","2.81","2.81","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265","L3,53.197"
"No","No","Receipt","8/28/2025 11:29 PM","6/23/2019","Fas Gas Red Deer","CAD","57.00","2.71","2.71","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265",""
"Yes","No","Receipt","8/28/2025 11:29 PM","6/22/2019","Run'n On Empty 50Ave","CAD","50.00","2.38","2.38","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","",""
"No","No","Receipt","8/28/2025 11:29 PM","6/15/2019","SHELL CANADA PRODUCTS","CAD","100.53","4.79","4.79","0.00","0.00","0.00","0.00","","0.00","Business","Deductible","Fuel","","","Card","","MASTERCARD","8547",""
"Yes","No","Receipt","8/28/2025 11:29 PM","6/19/2019","FLYING J","CAD","90.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","MASTERCARD","9215",""
"No","No","Receipt","8/28/2025 11:29 PM","6/19/2019","FLYING J","CAD","40.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","0315",""
"No","No","Receipt","8/28/2025 11:29 PM","5/24/2019","Fas Gas Red Deer","CAD","142.80","6.80","6.80","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-5,102.81"
"Yes","No","Receipt","8/28/2025 11:29 PM","5/26/2019","Red Deer Taylor","CAD","140.00","6.67","6.67","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265","L-23,115.797"
"Yes","No","Receipt","8/28/2025 11:29 PM","2/20/2017","Fas Gas Plus 50th Av","CAD","60.00","2.86","2.86","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","","L5,64.99"
"Yes","No","Receipt","9/3/2025 9:15 PM","3/9/2019","Chevron Calgary Tr.","CAD","3.60","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Cash","","","","Ice"
"Yes","No","Receipt","9/3/2025 9:15 PM","3/24/2019","Fas Gas Penhold","CAD","40.80","0.94","0.94","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-3,34.312"
"No","No","Receipt","8/28/2025 11:29 PM","5/15/2019","Fas Gas Red Deer","CAD","100.00","4.76","4.76","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-5,82.715"
"Yes","No","Receipt","9/3/2025 9:16 PM","4/12/2019","Blackfalds Esso","CAD","20.00","0.95","0.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","9206","L-20,14.398"
"Yes","No","Receipt","9/3/2025 9:16 PM","4/9/2019","Fas Gas Timberland","CAD","40.00","1.90","1.90","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","9206",""
"No","No","Receipt","9/3/2025 9:16 PM","4/23/2019","Run'n On Empty 50Ave","CAD","50.00","2.38","2.38","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-5,41.36"
"Yes","No","Receipt","9/3/2025 9:16 PM","4/18/2019","Edmonton Al -ports","CAD","7.75","0.37","0.37","0.00","0.00","0.00","0.00","","0.00","","","Parking","Airport parking","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:16 PM","4/14/2019","Fas Gas Red Deer","CAD","50.00","2.38","2.38","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:16 PM","4/17/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","200.00","9.52","9.52","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-11,166.810"
"No","No","Receipt","9/3/2025 9:16 PM","4/17/2019","Fas as Westpark","CAD","100.00","4.76","4.76","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-5,83.717"
"Yes","No","Receipt","9/3/2025 9:17 PM","4/19/2019","Fas Gas Red Deer","CAD","20.00","0.95","0.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","1468",""
"No","No","Receipt","9/3/2025 9:17 PM","4/19/2019","Fas Gas Red Deer","CAD","100.00","4.76","4.76","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-8,82.715"
"Yes","No","Receipt","9/3/2025 9:17 PM","4/26/2019","Fas Gas LACOMBE AB","CAD","70.00","3.33","3.33","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:17 PM","4/28/2019","Run'n On Empty 50Ave","CAD","60.00","2.86","2.86","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-5,49.630"
"Yes","No","Receipt","9/3/2025 9:17 PM","4/23/2019","Run'n On Empty 50Ave","CAD","13.55","0.64","0.64","0.00","0.00","0.00","0.00","","0.00","","","food out of town","","","Debit","","","3265",""
"No","No","Receipt","9/3/2025 9:17 PM","4/25/2019","Run'n On Empty 50Ave","CAD","51.00","2.43","2.43","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-6,42.182"
"Yes","No","Receipt","9/3/2025 9:17 PM","4/1/2019","Run'n On Empty 50Ave","CAD","18.43","0.57","0.57","0.00","0.00","0.00","0.00","","0.00","","","Food","","","Debit","","","3265",""
"Yes","No","Receipt","9/3/2025 9:17 PM","2/26/2019","Fas Gas Red Deer","CAD","30.00","1.43","1.43","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","",""
"Yes","No","Receipt","9/3/2025 9:17 PM","3/19/2019","SHELL CANADA PRODUCTS","CAD","9.44","0.06","0.00","0.00","0.06","0.00","0.00","","0.00","","","vehicle supplies","","","Cash","","","",""
"No","No","Receipt","9/3/2025 9:17 PM","3/4/2019","PETRO-CANADA","CAD","20.00","1.51","1.51","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","MASTERCARD","3559",""
"Yes","No","Receipt","9/3/2025 9:17 PM","3/16/2019","PETRO-CANADA","CAD","60.00","2.86","2.86","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:17 PM","3/14/2019","PETRO-CANADA","CAD","20.00","3.14","3.14","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","MASTERCARD","3559",""
"No","No","Receipt","9/3/2025 9:17 PM","8/2/2019","Run'n On Empty 50Ave","CAD","50.00","2.38","2.38","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-5,46.772"
"No","No","Receipt","9/3/2025 9:17 PM","5/21/2019","7 eleven store 37826","CAD","7.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","",""
"Yes","No","Receipt","9/3/2025 9:16 PM","4/11/2019","Mac's convenience","CAD","20.00","0.95","0.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","9206",""
"Yes","No","Receipt","9/3/2025 9:16 PM","4/30/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","70.00","3.33","3.33","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:16 PM","4/30/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","120.00","5.71","5.71","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:16 PM","4/13/2019","Stampede esso","CAD","3.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Cash","","","","ice"
"Yes","No","Receipt","9/3/2025 9:15 PM","3/28/2019","Run'n On Empty 50Ave","CAD","23.80","1.08","1.08","0.00","0.00","0.00","0.00","","0.00","","","Food","","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:15 PM","3/24/2019","Fas Gas Red Deer","CAD","9.65","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:15 PM","3/21/2019","Run'n On Empty 50Ave","CAD","150.00","7.14","7.14","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-24,125.105"
"Yes","No","Receipt","9/3/2025 9:15 PM","3/28/2019","PETRO-CANADA","CAD","8.95","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Cash","","","","ice"
"Yes","No","Receipt","9/3/2025 9:15 PM","3/23/2019","Fas Gas Red Deer","CAD","85.00","4.05","4.05","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-23,71.465"
"Yes","No","Receipt","9/3/2025 9:15 PM","3/29/2019","Fas Gas Red Deer","CAD","60.00","2.86","2.86","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-8,50.462"
"Yes","No","Receipt","9/3/2025 9:16 PM","3/30/2019","Blackfalds Esso","CAD","60.00","2.86","2.86","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","MASTERCARD","3559","L-8,51.77"
"Yes","No","Receipt","9/3/2025 9:16 PM","3/16/2019","PETRO-CANADA","CAD","20.05","0.95","0.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:16 PM","3/10/2019","PETRO-CANADA","CAD","40.00","1.90","1.90","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:16 PM","3/9/2019","Fas Gas Red Deer 3218 49th Avenue Red Deer AB","CAD","44.50","2.12","2.12","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","","","","","L-20,39.772"
"Yes","No","Receipt","9/3/2025 9:15 PM","3/13/2019","Run'n On Empty 50Ave","CAD","93.14","4.44","4.44","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-5,86.322"
"Yes","No","Receipt","9/3/2025 9:16 PM","3/30/2019","Blackfalds Esso","CAD","40.00","1.90","1.90","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-23,34.515"
"Yes","No","Receipt","9/3/2025 9:16 PM","3/7/2019","Fas Gas Red Deer","CAD","68.60","3.27","3.27","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265",""
"No","No","Receipt","9/3/2025 9:16 PM","3/7/2019","Fas Gas Red Deer","CAD","100.00","4.76","4.76","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265",""
"Yes","No","Receipt","9/3/2025 9:16 PM","3/7/2019","Fas Gas Red Deer","CAD","52.50","2.50","2.50","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265",""
"Yes","No","Receipt","9/3/2025 9:16 PM","3/15/2019","Fas Gas Red Deer","CAD","40.00","1.90","1.90","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-3,33.361"
"Yes","No","Receipt","9/3/2025 9:16 PM","3/12/2019","7 eleven store 37826","CAD","40.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","","L-3,36.396"
"Yes","No","Receipt","9/3/2025 9:16 PM","4/11/2019","Fas Gas Red Deer","CAD","50.00","2.38","2.38","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-23,42.7"
"Yes","No","Receipt","9/3/2025 9:16 PM","3/11/2019","Fas Gas west park","CAD","20.00","0.95","0.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-3,17.873"
"Yes","No","Receipt","9/3/2025 9:16 PM","4/22/2019","Fas as Westpark","CAD","30.00","1.43","1.43","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","6105",""
"Yes","No","Receipt","9/3/2025 9:16 PM","4/13/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","7.65","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:16 PM","4/25/2019","husky leduc","CAD","5.63","0.26","0.26","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Cash","","","",""
"Yes","No","Receipt","9/3/2025 9:16 PM","3/31/2019","Fas Gas Red Deer","CAD","60.00","2.86","2.86","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265",""
"No","No","Receipt","8/28/2025 11:29 PM","5/8/2019","Run'n On Empty 50Ave","CAD","59.01","2.81","2.81","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265","L-6,48.805"
"No","No","Receipt","8/28/2025 11:29 PM","5/14/2019","Fas Gas Red Deer","CAD","98.92","4.71","4.71","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265",""
"Yes","No","Receipt","9/3/2025 9:17 PM","5/21/2019","SHELL CANADA PRODUCTS","CAD","15.00","0.71","0.71","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","1926",""
"Yes","No","Receipt","8/28/2025 11:02 PM","8/27/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","20.00","0.95","0.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265","L-19,20.432"
"No","No","Receipt","8/28/2025 11:02 PM","7/12/2019","Fas Gas Red Deer","CAD","103.00","4.90","4.90","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265","L-24,93.722"
"No","No","Receipt","8/28/2025 11:02 PM","7/13/2019","Blackfalds Esso","CAD","40.00","1.90","1.90","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-3,36.069"
"No","No","Receipt","8/28/2025 11:02 PM","7/26/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","62.00","2.95","2.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265",""
"No","No","Receipt","8/28/2025 11:02 PM","7/13/2019","Delburn Esso","CAD","50.08","2.38","2.38","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","MASTERCARD","8547","L-22,44.682"
"Yes","No","Receipt","8/28/2025 11:02 PM","6/29/2019","Fas Gas Red Deer","CAD","186.06","8.86","8.86","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265",""
"Yes","No","Receipt","8/28/2025 11:02 PM","8/11/2019","Fas Gas west park","CAD","60.00","2.86","2.86","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"No","No","Receipt","8/28/2025 11:02 PM","8/17/2019","Burnt Lake Store","CAD","100.00","4.76","4.76","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265",""
"No","No","Receipt","8/28/2025 11:26 PM","8/3/2019","Fas Gas Westpark 4305 55th Street Red Deer AB","CAD","29.34","0.48","0.48","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Debit","","","3265","ice water and pop"
"Yes","No","Receipt","8/28/2025 11:26 PM","8/18/2019","Fas Gas west park","CAD","4.01","0.17","0.17","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Debit","","","3265",""
"Yes","No","Receipt","8/28/2025 11:26 PM","6/21/2019","Fas Gas Red Deer","CAD","169.59","8.08","8.08","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","MASTERCARD","8547",""
"Yes","No","Receipt","8/28/2025 11:26 PM","6/22/2019","FasGas Plus-Kingston","CAD","77.01","3.67","3.67","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","MASTERCARD","8547","L-8,69.437"
"Yes","No","Receipt","8/28/2025 11:26 PM","6/22/2019","Fas Gas Red Deer","CAD","10.61","0.30","0.30","0.00","0.00","0.00","0.00","","0.00","","","Business expense","Client Beverage","","Card","","MASTERCARD","8547","water and  ice"
"Yes","No","Receipt","8/28/2025 11:26 PM","6/7/2019","Centex Bearspaw","CAD","100.00","4.76","4.76","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","8/28/2025 11:26 PM","6/4/2019","Run'n On Empty 50Ave","CAD","20.00","0.95","0.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-5,17.875"
"Yes","No","Receipt","8/28/2025 11:27 PM","6/8/2019","Fas Gas Red Deer","CAD","55.00","2.62","2.62","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-8,49.151"
"Yes","No","Receipt","8/28/2025 11:27 PM","6/8/2019","Run'n On Empty 50Ave","CAD","17.00","0.81","0.81","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-3,15.197"
"Yes","No","Receipt","8/28/2025 11:27 PM","6/7/2019","Centex Bearspaw","CAD","46.00","2.19","2.19","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","",""
"Yes","No","Receipt","8/28/2025 11:27 PM","6/19/2019","Fas Gas Red Deer","CAD","53.21","2.53","2.53","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","MASTERCARD","8547",""
"Yes","No","Receipt","8/28/2025 11:27 PM","6/15/2019","Run'n On Empty 50Ave","CAD","40.00","1.90","1.90","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-20,36.397"
"Yes","No","Receipt","8/28/2025 11:27 PM","6/1/2019","Burnt Lake Store","CAD","34.00","1.62","1.62","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L-20,30.385"
"Yes","No","Receipt","8/28/2025 11:02 PM","8/8/2019","Fas Gas west park","CAD","30.00","1.43","1.43","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265","L-5,29.157"
"No","No","Receipt","8/28/2025 11:02 PM","6/22/2019","Fas Gas Penhold","CAD","103.77","4.94","4.94","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265",""
